,by,descendants,id,kids,score,time,title,type,url,text
0,msephton,14.0,41298312,"[41298897, 41298824, 41298880, 41298694, 41298752, 41298635, 41298894]",36,1724145888,&udm=14 for Safari (iOS/iPadOS),story,https://apps.apple.com/gb/app/udm14-for-safari/id6520379591,
1,rd07,30.0,41297609,"[41297978, 41298653, 41298349, 41298124, 41298731, 41297665, 41298433, 41297692, 41298263, 41298767, 41298096, 41298354, 41298662, 41298338]",96,1724138134,Pragtical: Practical and pragmatic code editor,story,https://pragtical.dev/,
2,kaycebasques,43.0,41296481,"[41297794, 41298641, 41298043, 41297589, 41297722, 41297879, 41297843, 41298398, 41297842, 41298890, 41297554, 41298760, 41298144, 41297545, 41297967, 41298339, 41297790, 41297539, 41298609, 41297729]",161,1724124627,Sourcegraph went dark,story,https://eric-fritz.com/articles/sourcegraph-went-dark/,
3,darknavi,206.0,41294067,"[41297700, 41294191, 41295997, 41294605, 41295460, 41297849, 41294114, 41295052, 41294085, 41294883, 41294789, 41294733, 41295109, 41294306, 41294133, 41294657, 41294478, 41295119, 41295214, 41296133, 41294933, 41295012, 41294351]",493,1724096962,13ft – A site similar to 12ft.io but self-hosted,story,https://github.com/wasi-master/13ft,
4,tndl,138.0,41291219,"[41293285, 41292130, 41293289, 41293322, 41292983, 41298232, 41293127, 41293971, 41297509, 41293227, 41297428, 41296151, 41293203, 41295979, 41295231, 41293993, 41295059, 41294032, 41297914, 41293740, 41295447, 41293282, 41294467, 41294038, 41293288, 41294159, 41297055, 41292244, 41292117, 41294947, 41293694, 41293987, 41293347, 41292643, 41298051, 41293588, 41295408, 41293880, 41293330, 41293287, 41294221, 41293302, 41293837]",315,1724076816,Launch HN: Sorcerer (YC S24) – Weather balloons that collect more data,story,,"Hey HN! We’re Max, Alex, and Austin, the team behind Sorcerer (<a href=""https:&#x2F;&#x2F;sorcerer.earth"">https:&#x2F;&#x2F;sorcerer.earth</a>). Sorcerer builds weather balloons that last for over six months, collecting 1000x more data per dollar and reaching previously inaccessible regions.<p>In 1981, weather disasters caused $3.5 billion in damages in the United States. In 2023, that number was $94.9 billion (<a href=""https:&#x2F;&#x2F;www.ncei.noaa.gov&#x2F;access&#x2F;billions&#x2F;time-series"" rel=""nofollow"">https:&#x2F;&#x2F;www.ncei.noaa.gov&#x2F;access&#x2F;billions&#x2F;time-series</a>). The National Weather Service spends billions annually on its network of weather balloons, satellites, and aircraft sensors – generating hundreds of terabytes of data every day. This data, called observation data, is fed into massive supercomputers running advanced physics to produce global weather forecasts. Despite this cost, there are still places in the US where we don&#x27;t know what the temperature will be two days from now: <a href=""https:&#x2F;&#x2F;www.washingtonpost.com&#x2F;climate-environment&#x2F;interactive&#x2F;2024&#x2F;how-accurate-is-the-weather-forecast&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.washingtonpost.com&#x2F;climate-environment&#x2F;interacti...</a>. And for the rest of the world that lacks weather infrastructure? There’s always the Weather Rock: <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Weather_rock"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Weather_rock</a>.<p>The most important data for these forecasts come from vertical data ‘slices’ of the atmosphere, called soundings. Every day 2,500 single-use latex radiosondes are launched across the globe to collect these soundings. They stay aloft for about two hours before popping and falling back to Earth. Launch sites for these systems are sparse in Latin America and Africa, and they’re completely non-existent over oceans. This leaves about 80% of the globe with inadequate weather data for accurate predictions.<p>The coverage gap became painfully evident to Max and Alex during their time at Urban Sky. While building balloons for high-altitude aerial imaging, they kept running into a problem: no matter what weather forecast they used, they couldn’t get accurate wind predictions for the upper atmosphere. They tried all of the free and commercial forecast products, but none of them were accurate enough. Digging into it more, we learned that a big part of the problem was the lack of high-quality in-situ data at those altitudes.<p>To solve this problem, our systems ascend and descend between sea level and 65,000ft several times a day to collect vertical data soundings. Each vehicle (balloon + payload) weighs less than a pound and can be launched from anywhere in the world, per the FAA and ICAO reg. Here’s one we launched from Potrero Hill in SF, <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;75fN5WpRWH0"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;75fN5WpRWH0</a> and here’s another near the Golden Gate Bridge, <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;7yLmzLPUFVQ"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;7yLmzLPUFVQ</a>. Although we can’t “drive” these balloons laterally, we can use opposing wind layers to target or avoid specific regions. Here’s what a few simulated flight paths look like, to give you an idea: <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;F_Di8cjaEUY"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;F_Di8cjaEUY</a><p>Our payload uses a satellite transceiver for communications and a small, thin film solar panel array to generate power. In addition to the weather data, we also get real-time telemetry from the vehicles, which we use to optimize their flight paths. This includes maintaining the optimal spacing between balloons and steering them to a recovery zone at the end of their lifespan so we can recycle them.<p>These systems spend most of their time in the stratosphere which is an extremely unforgiving environment. We’ll often see temperatures as low as -80°C while flying near the equator. Throughout the day, we experience extreme temperature cycling as they ascend and descend through the atmosphere. We’ll often encounter 100mph+ wind shears near the boundary with the troposphere (the tropopause) that can rip apart the balloon envelope. These conditions make the stratosphere a very difficult place to deploy to prod.<p>The real magic of what we’re building will come into play when we have hundreds of these systems in the air over data-sparse regions. But even now, we can do useful and interesting things with them. Some of our early customers are companies who fly very big, very expensive things into the stratosphere. They use our balloons to give them a clear idea of what conditions are ahead of their operations, and we’re working on a forecast product specifically designed for the stratosphere.<p>The combination of long duration and low cost is novel. We can theoretically maintain thousands of balloons in the atmosphere at any given time for a tenth of the cost of one useful weather satellite. We’re also using the data we collect to train AI models that produce forecasts with better accuracy than existing numerical (supercomputer) forecasts. Because we’re collecting totally unique data over areas that lack observation, our models will maintain a consistent edge versus models that are only trained on open data.<p>We’re really excited to be launching Sorcerer here with you! We’d love to hear what you think. And if you find one of our balloons in the Bay Area: Sorry! It’s still a work in progress (and please get it back to us).<p>I’ll leave you all with a bonus video of Paul Buchheit launching one of our balloons, which we thought was pretty cool: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=-sngF9VvDzg"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=-sngF9VvDzg</a>"
5,notagoodidea,40.0,41253850,"[41297088, 41297280, 41296824, 41296601, 41295787, 41295939, 41297678, 41297640, 41296437, 41295707, 41296411, 41296038]",254,1723707474,Let's Write a Reverb,story,https://signalsmith-audio.co.uk/writing/2021/lets-write-a-reverb/,
6,chx,28.0,41298430,"[41298967, 41298840, 41298741, 41298723, 41298673, 41298630, 41298652, 41298640, 41298712, 41298704, 41298682, 41298799]",133,1724147105,I picked up a shitty NUC from ewaste and it had a label on it for an AI company,story,https://digipres.club/@foone/112990331505043510,
7,pabs3,7.0,41298116,"[41298842, 41298867, 41298777, 41298788]",24,1724143623,Go automatically downloads a newer toolchain if needed,story,https://kokada.capivaras.dev/blog/quick-bits-go-automatically-downloads-a-newer-toolchain-if-needed/,
8,nichochar,24.0,41291700,"[41298181, 41298080, 41296423, 41298455, 41297057, 41296715, 41296522, 41291911, 41296486, 41297278, 41298063, 41296779]",111,1724080196,Show HN: Srcbook – A TypeScript notebook for rapid prototyping,story,https://github.com/srcbookdev/srcbook,"Srcbook (”source-book”) is an open-source TypeScript notebook that runs locally, powered by Node.js. It shines for rapid prototyping, code exploration, and collaborating on ideas. It’s inspired by Python’s Jupyter and Elixir’s Livebook.<p>Key features:<p>- Full npm ecosystem access<p>- AI-assisted coding (OpenAI, Anthropic, or local models), it can iterate on the cells for you with a code diff UX that you accept&#x2F;reject for a given code cell, generate entire Srcbooks, fix compilation issues, etc…<p>- Exports to valid markdown for easy sharing and version control<p>Try it now: `npx srcbook start`<p>Examples Srcbooks to explore: <a href=""https:&#x2F;&#x2F;hub.srcbook.com"">https:&#x2F;&#x2F;hub.srcbook.com</a><p>We built this because we needed a Jupyter-like environment for TypeScript, we hope others like it as much as we do! Feedback and contributions are super appreciated.<p>(edit: formatting)"
9,Rush2112,6.0,41282157,"[41298700, 41298678, 41282158]",22,1723986593,Convert Markdown files to RSS feed,story,https://github.com/TimoKats/mdrss,
10,tomodachi94,16.0,41262010,"[41297953, 41298060, 41298215, 41298068]",48,1723769119,When Nothing Ever Goes Out of Print: Maintaining Backlist Ebooks (2016),story,https://teresaelsey.medium.com/when-nothing-ever-goes-out-of-print-maintaining-backlist-ebooks-fcd63e680667,
11,Gigamouse,0.0,41298766,,9,1724151105,A Lego Model of Capitalist Central Planning,story,https://www.asomo.co/p/lego-capitalist-central-planning,
12,wglb,30.0,41294202,"[41296184, 41295165, 41295870, 41295614, 41295914, 41297043, 41296371]",121,1724098248,'Rare species' not seen in the area for 50 years spotted on Arizona trail camera,story,https://phys.org/news/2024-08-rare-species-area-years-arizona.html,
13,nolist_policy,4.0,41298522,[41298882],23,1724148264,Copilot turns a court reporter into a child molester,story,https://www.heise.de/en/news/Copilot-turns-a-court-reporter-into-a-child-molester-9840612.html,
14,animal_spirits,33.0,41293929,"[41294688, 41295595, 41298402, 41294563, 41295194, 41297379, 41297021, 41294661]",139,1724095922,Lenticular Clock,story,https://www.instructables.com/Lenticular-Clock/,
15,torstenvl,71.0,41295433,"[41295603, 41295857, 41295630, 41296049, 41297654, 41298170, 41298203, 41295634, 41298817, 41296362, 41297092, 41298239, 41296108, 41296087, 41298399, 41296467, 41295912]",122,1724110501,On the cruelty of really teaching computing science (1988),story,https://www.cs.utexas.edu/~EWD/transcriptions/EWD10xx/EWD1036.html,
16,surprisetalk,21.0,41255975,"[41298787, 41298913, 41297916, 41297786, 41297743, 41297971, 41297908]",37,1723729410,Against the Advice of My Superintelligence,story,https://taylor.town/my-superintelligence,
17,panarky,68.0,41293901,"[41297419, 41295127, 41298805, 41298685, 41296164, 41294995, 41296007, 41295019, 41298311, 41294641, 41296099, 41298356, 41294986, 41296235, 41296757, 41295615, 41295481, 41295651, 41296797, 41295683, 41296306, 41296299, 41294595, 41295202]",137,1724095702,Music recommendation system using transformer models,story,https://research.google/blog/transformers-in-music-recommendation/,
18,maidul,,41295845,,1,1724115651,Infisical (YC W23) Is Hiring Full Stack Engineer (Remote),job,https://www.ycombinator.com/companies/infisical/jobs/HD8NQOP-full-stack-engineer,
19,ustad,0.0,41257314,,5,1723736376,Blockdiag – simple diagram images generator – blockdiag 1.0 documentation,story,http://blockdiag.com/en/index.html,
20,peterburkimsher,26.0,41295390,"[41297235, 41297287, 41297755, 41297404, 41297845, 41297218, 41297668, 41297349]",45,1724109863,RP2040 Hid Remapper,story,https://github.com/jfedor2/hid-remapper,
21,mtlebe,1.0,41253198,[41298587],13,1723697708,Want to Win a Bike Race? Hack Your Rival's Wireless Shifters,story,https://www.wired.com/story/shimano-wireless-bicycle-shifter-jamming-replay-attacks/,
22,diggan,48.0,41268540,"[41294403, 41295396, 41296671, 41294755, 41295450, 41294669, 41296233, 41295967, 41297932, 41294556, 41298401]",93,1723830010,"Spine – 2D skeletal animation for games, with physical secondary motions",story,https://en.esotericsoftware.com/,
23,davidbarker,49.0,41297563,"[41298941, 41298510, 41298359, 41298478, 41298221, 41298749, 41298579, 41298730, 41298592, 41297922, 41298318, 41298735, 41298672, 41298693]",60,1724137776,The U.S. Navy's $100M Checkbox (2019),story,https://adrian3.com/blog/2019/2019-09-28-The-US-Navys-100-million-dollar-checkbox.php,
24,dbaupp,1.0,41298636,"[41298798, 41298677]",6,1724149608,Ethically Sourced Lena Picture,story,https://mortenhannemose.github.io/lena/,
25,magnat,117.0,41293767,"[41294839, 41295200, 41294584, 41294902, 41294016, 41294404, 41295911, 41295859, 41295034, 41295183, 41294026, 41297594, 41295164, 41295281, 41294402, 41295324, 41295308, 41295215]",183,1724094419,The guidance system and computer of the Minuteman III nuclear missile,story,http://www.righto.com/2024/08/minuteman-guidance-computer.html,
26,ahubert,197.0,41292018,"[41292982, 41292379, 41292389, 41293135, 41292466, 41293172, 41292665, 41293602, 41293385, 41294013, 41292658, 41292952, 41293923, 41294059, 41292962, 41294643, 41294341, 41293413, 41292357, 41292705, 41295568, 41294758, 41293447, 41293145, 41293756, 41297149, 41292475, 41292435, 41294642, 41292941, 41292591, 41294813, 41292099, 41292347, 41294508]",393,1724082319,The gigantic and unregulated power plants in the cloud,story,https://berthub.eu/articles/posts/the-gigantic-unregulated-power-plants-in-the-cloud/,
27,ramimac,16.0,41293847,"[41298472, 41296871, 41295742, 41297677, 41298172, 41297045]",62,1724095164,Client-side filtering of private data is a bad idea,story,https://mjg59.dreamwidth.org/70061.html,
28,thunderbong,1.0,41296274,[41298661],18,1724121557,Neo Geo Dev: Fixed Point Numbers,story,https://mattgreer.dev/blog/neo-geo-dev-fixed-point/,
29,MaxikCZ,21.0,41297406,"[41298832, 41298632, 41298561, 41298463, 41297666, 41297407, 41297595, 41297583, 41297624, 41297869]",48,1724135979,Shapez2 Released,story,https://shapez2.com/,
30,hasheddan,30.0,41292784,"[41296750, 41293932, 41293869, 41293575, 41294895, 41294930, 41296088, 41294118, 41293523, 41295664, 41297623, 41294241, 41293462, 41294831]",121,1724087652,Migrating Mess with DNS to Use PowerDNS,story,https://jvns.ca/blog/2024/08/19/migrating-mess-with-dns-to-use-powerdns/,
31,goranmoomin,55.0,41293381,"[41297816, 41293863, 41295189, 41293702, 41295005, 41294741, 41294327, 41293953, 41293665, 41293678, 41293646, 41293933, 41294473, 41293905]",126,1724091591,Imgpls – An extension to load Imgur images directly,story,https://andadinosaur.com/launch-imgpls,
32,nqnielsen,13.0,41292633,"[41295394, 41294888, 41298246, 41292634]",119,1724086389,LLMs know more than what they say,story,https://arjunbansal.substack.com/p/llms-know-more-than-what-they-say,
33,ghostway,15.0,41296949,"[41298059, 41297626, 41298240, 41297297, 41298801]",138,1724129870,Phrack 71,story,http://phrack.org/issues/71/1.html,
34,thunderbong,52.0,41293850,"[41294150, 41294272, 41297717, 41296034, 41294879, 41294151, 41295601, 41297391, 41294414, 41294286, 41298014, 41294297, 41295055, 41298471]",248,1724095184,Netboot.xyz: your favorite operating systems in one place,story,https://netboot.xyz/,
35,steve8708,58.0,41295296,"[41298264, 41297150, 41297828, 41296727, 41296172, 41297313, 41298314, 41298038, 41298549, 41298279, 41298336, 41296850, 41298114, 41297974]",76,1724108511,Good Refactoring vs. Bad Refactoring,story,https://www.builder.io/blog/good-vs-bad-refactoring,
36,iscream26,24.0,41294332,"[41298786, 41294554, 41294665, 41295152, 41294586, 41294706, 41295446, 41294770, 41294668, 41295401]",84,1724099385,Cardinal – Virtual modular synthesizer plugin,story,https://cardinal.kx.studio/,
37,dakshgupta,17.0,41261711,"[41296098, 41296612, 41296102, 41261780]",53,1723765739,Searching a Codebase in English,story,https://www.greptile.com/blog/semantic,
38,amnonbc,15.0,41291470,"[41294427, 41293902, 41296784, 41294611, 41293915, 41295002]",71,1724078442,Optimizing global message transit latency: a journey through TCP configuration,story,https://ably.com/blog/optimizing-global-message-transit-latency-a-journey-through-tcp-configuration,
39,doppp,100.0,41296421,"[41296593, 41296592, 41297364, 41298300, 41296804, 41296577, 41297852, 41297573, 41297756, 41297477, 41297252, 41298560]",118,1724123671,"$50 2GB Raspberry Pi 5 comes with a lower price and a tweaked, cheaper CPU",story,https://arstechnica.com/gadgets/2024/08/new-2gb-raspberry-pi-5-option-knocks-the-price-down-to-50/,
40,olalonde,0.0,41295692,,9,1724113780,So you want to build an embedded Linux system?,story,https://jaycarlson.net/embedded-linux/,
41,fanf2,146.0,41289114,"[41290182, 41292116, 41291402, 41290555, 41289656, 41294017, 41289742, 41289694, 41290595, 41295884, 41292944, 41292075, 41290473, 41295353, 41289794, 41291005, 41290704, 41291887, 41295558, 41289754, 41289586, 41289701]",347,1724056923,Parsing protobuf at 2+GB/s: how I learned to love tail calls in C (2021),story,https://blog.reverberate.org/2021/04/21/musttail-efficient-interpreters.html,
42,Nydhal,103.0,41290409,"[41293180, 41292135, 41292731, 41292127, 41297396, 41291640, 41295458, 41292193, 41291248, 41297170, 41291844, 41294171, 41293963, 41296000, 41291403, 41292713, 41292295, 41291679, 41291897, 41295201, 41293363, 41290891, 41293059]",281,1724070189,Classifying all of the pdfs on the internet,story,https://snats.xyz/pages/articles/classifying_a_bunch_of_pdfs.html,
43,croes,1.0,41297980,[41298393],13,1724142164,The Atlantic is cooling at record speed and nobody knows why,story,https://www.newscientist.com/article/2444394-the-atlantic-is-cooling-at-record-speed-and-nobody-knows-why/,
44,gelstudios,4.0,41294822,"[41296574, 41295689]",51,1724103956,The oral history of the Dinosaur Input Device,story,https://vfxblog.com/dinosaurinputdevice/,
45,keepamovin,19.0,41266748,"[41293256, 41294475, 41293780, 41292676, 41293607, 41294973]",64,1723818415,Vaseline and Uranium Glass (ca. 1930s),story,https://www.orau.org/health-physics-museum/collection/consumer/glass/vaseline-uranium-glass.html,
46,ororm,0.0,41298113,,5,1724143596,Perspectives for first principles prompt engineering,story,https://huggingface.co/blog/KnutJaegersberg/first-principles-prompt-engineering,
47,m463,21.0,41297061,"[41297746, 41297599, 41297898, 41298846, 41298005, 41297973, 41297887, 41298135, 41298646]",31,1724131312,2024's Hugo Award Winners Announced,story,https://www.thehugoawards.org/hugo-history/2024-hugo-awards/,
48,todsacerdoti,0.0,41296202,,6,1724120664,Software Possession for Personal Use,story,https://olano.dev/blog/software-possession-for-personal-use/,
49,surprisetalk,2.0,41260076,[41296275],36,1723754059,Designing (Procedural) Monsters (2021) [video],story,https://www.youtube.com/watch?v=a87tB__3KEs,
