id,user_id,status,completed_at,created_at
1,349,completed,2024-11-16T06:03:00.797Z,2024-11-02T19:35:46.075Z
2,878,returned,,2024-03-02T19:38:52.891Z
3,2736,processing,,2029-07-17T04:58:19.569Z
4,36,completed,2023-03-08T03:54:53.075Z,2023-02-14T07:54:41.612Z
5,305,completed,2026-02-21T04:47:12.575Z,2026-01-14T07:37:47.074Z
6,2061,processing,,2028-02-14T17:25:00.627Z
7,1576,completed,2023-10-29T08:01:29.087Z,2023-10-07T05:15:32.295Z
8,991,shipped,,2029-10-29T14:35:49.601Z
9,1545,shipped,,2024-09-12T11:06:05.256Z
10,1355,completed,2029-02-20T00:32:49.486Z,2029-02-01T05:07:20.193Z
11,1131,completed,2027-03-07T03:33:27.664Z,2027-02-18T18:32:29.821Z
12,686,shipped,,2025-03-16T21:59:16.476Z
13,1066,completed,2029-09-05T17:11:27.468Z,2029-07-26T11:42:35.140Z
14,1011,returned,,2025-12-01T19:41:02.079Z
15,160,shipped,,2017-08-16T15:55:28.535Z
16,1959,shipped,,2028-05-26T16:34:11.734Z
17,444,shipped,,2028-01-23T08:49:26.955Z
18,826,completed,2029-05-05T11:24:51.032Z,2029-04-23T15:52:55.564Z
19,2280,processing,,2026-04-13T07:35:02.245Z
20,2052,shipped,,2029-11-11T19:55:42.790Z
21,117,shipped,,2026-06-12T16:10:06.448Z
22,797,returned,,2026-04-08T01:47:15.244Z
23,381,completed,2027-06-29T22:36:23.879Z,2027-06-20T19:52:07.146Z
24,1276,shipped,,2027-06-27T05:49:18.934Z
25,1406,completed,2028-08-27T07:09:56.755Z,2028-08-11T07:52:19.937Z
26,2835,shipped,,2024-12-12T11:02:36.044Z
27,1950,completed,2026-08-04T11:51:48.345Z,2026-07-19T13:55:58.341Z
28,1720,processing,,2027-01-01T11:48:38.499Z
29,1736,completed,2029-08-29T15:40:40.058Z,2029-07-23T20:09:41.220Z
30,127,processing,,2029-09-24T23:00:19.568Z
31,2317,processing,,2026-08-21T21:52:53.352Z
32,2261,returned,,2027-09-30T20:44:07.189Z
33,548,shipped,,2029-01-27T18:21:53.470Z
34,529,completed,2027-01-13T21:18:35.863Z,2026-12-23T22:31:16.150Z
35,2887,completed,2018-08-12T17:50:59.766Z,2018-07-16T05:44:01.048Z
36,1202,completed,2027-12-10T10:48:33.802Z,2027-11-02T02:40:38.752Z
37,958,shipped,,2027-09-24T05:41:11.132Z
38,1222,shipped,,2021-06-06T22:04:39.169Z
39,1491,completed,2029-07-02T14:20:44.204Z,2029-05-31T00:36:59.825Z
40,2353,shipped,,2024-11-04T23:35:31.408Z
41,1608,completed,2024-05-06T18:14:03.488Z,2024-04-22T01:06:32.772Z
42,487,completed,2027-07-29T13:42:28.812Z,2027-07-11T17:46:29.554Z
43,2610,completed,2029-10-14T00:33:11.538Z,2029-09-04T01:03:00.492Z
44,1191,shipped,,2026-08-13T19:55:27.401Z
45,625,processing,,2022-06-05T20:50:37.350Z
46,2338,completed,2029-12-14T23:44:54.427Z,2029-11-13T04:20:30.406Z
47,1249,completed,2027-03-03T10:44:38.260Z,2027-02-15T00:17:00.333Z
48,514,shipped,,2029-11-10T14:03:12.272Z
49,1806,processing,,2023-07-18T19:38:57.714Z
50,251,processing,,2019-12-02T04:29:16.238Z
51,71,shipped,,2029-06-27T06:46:07.336Z
52,2538,processing,,2027-10-02T10:29:18.350Z
53,482,completed,2021-04-17T00:45:18.979Z,2021-04-06T08:25:38.066Z
54,778,shipped,,2024-09-09T14:52:31.045Z
55,1129,completed,2029-08-23T09:27:36.184Z,2029-08-02T19:44:49.842Z
56,1107,returned,,2028-04-25T21:15:01.305Z
57,2953,completed,2029-08-09T14:46:38.625Z,2029-07-04T09:39:09.912Z
58,2369,shipped,,2026-06-27T22:10:41.228Z
